ticker,name,country,category
NPKI,NPK International Inc. Common Stock,United States,Broad US equity universe
NPO,Enpro Inc. Common Stock,United States,Broad US equity universe
NPT,Texxon Holding Limited - Ordinary shares,United States,Broad US equity universe
NPV,Nuveen Virginia Quality Municipal Income Fund Common Stock,United States,Broad US equity universe
NPWR,NET Power Inc. Class A Common Stock,United States,Broad US equity universe
NRC,NRC Health - Common Stock,United States,Broad US equity universe
NRDS,"NerdWallet, Inc. - Class A Common Stock",United States,Broad US equity universe
NRDY,Nerdy Inc. Class A Common Stock,United States,Broad US equity universe
NREF,"NexPoint Real Estate Finance, Inc. Common Stock",United States,Broad US equity universe
NRG,"NRG Energy, Inc. Common Stock",United States,Broad US equity universe
NRGV,"Energy Vault Holdings, Inc. Common Stock",United States,Broad US equity universe
NRIM,Northrim BanCorp Inc - Common Stock,United States,Broad US equity universe
NRIX,"Nurix Therapeutics, Inc. - Common stock",United States,Broad US equity universe
NRK,Nuveen New York AMT-Free Quality Municipal Income Fund ,United States,Broad US equity universe
NRO,Neuberger Real Estate Securities Income Fund Inc. Common Stock,United States,Broad US equity universe
NRP,Natural Resource Partners LP Limited Partnership,United States,Broad US equity universe
NRSN,NeuroSense Therapeutics Ltd. - Ordinary Shares,United States,Broad US equity universe
NRT,North European Oil Royality Trust Common Stock,United States,Broad US equity universe
NRXP,"NRX Pharmaceuticals, Inc. - Common Stock",United States,Broad US equity universe
NRXS,"Neuraxis, Inc. Common Stock",United States,Broad US equity universe
NSC,Norfolk Southern Corporation Common Stock,United States,Broad US equity universe
NSIT,"Insight Enterprises, Inc. - Common Stock",United States,Broad US equity universe
NSLR,Neostellar Capital Corp. - Closed End Fund,United States,Broad US equity universe
NSP,"Insperity, Inc. Common Stock",United States,Broad US equity universe
NSPR,InspireMD Inc. - Common Stock,United States,Broad US equity universe
NSRX,Nasus Pharma Ltd. Ordinary Shares,United States,Broad US equity universe
NSSC,"NAPCO Security Technologies, Inc. - Common Stock",United States,Broad US equity universe
NSTS,"NSTS Bancorp, Inc. - Common Stock",United States,Broad US equity universe
NSYS,Nortech Systems Incorporated - Common Stock,United States,Broad US equity universe
NTAP,"NetApp, Inc. - Common Stock",United States,Broad US equity universe
NTB,Bank of N.T. Butterfield & Son Limited (The) Voting Ordinary Shares,United States,Broad US equity universe
NTCL,NETCLASS TECHNOLOGY INC - Class A Ordinary Shares,United States,Broad US equity universe
NTCT,"NetScout Systems, Inc. - Common Stock",United States,Broad US equity universe
NTGR,"NETGEAR, Inc. - Common Stock",United States,Broad US equity universe
NTHI,"NeOnc Technologies Holdings, Inc. - Common Stock",United States,Broad US equity universe
NTIC,Northern Technologies International Corporation - Common Stock,United States,Broad US equity universe
NTIP,"Network-1 Technologies, Inc. Common Stock",United States,Broad US equity universe
NTLA,"Intellia Therapeutics, Inc. - Common Stock",United States,Broad US equity universe
NTNX,"Nutanix, Inc. - Class A Common Stock",United States,Broad US equity universe
NTR,Nutrien,Canada,Fertilizer
NTRA,"Natera, Inc. - Common Stock",United States,Broad US equity universe
NTRB,Nutriband Inc. - Common Stock,United States,Broad US equity universe
NTRP,"NextTrip, Inc. - Common Stock",United States,Broad US equity universe
NTRS,Northern Trust Corporation - Common Stock,United States,Broad US equity universe
NTSK,"Netskope, Inc. - Class A Common Stock",United States,Broad US equity universe
NTST,NetSTREIT Corp. Common Stock,United States,Broad US equity universe
NTWK,NETSOL Technologies Inc. - Common Stock,United States,Broad US equity universe
NTWO,Newbury Street II Acquisition Corp - Class A Ordinary Shares,United States,Broad US equity universe
NTZ,"Natuzzi, S.p.A.",United States,Broad US equity universe
NU,Nu Holdings Ltd. Class A Ordinary Shares,United States,Broad US equity universe
NUAI,"New Era Energy & Digital, Inc. - Common Stock",United States,Broad US equity universe
NUCL,Eagle Nuclear Energy Corp. - Common stock,United States,Broad US equity universe
NUE,Nucor Corporation Common Stock,United States,Broad US equity universe
NUS,"Nu Skin Enterprises, Inc. Common Stock",United States,Broad US equity universe
NUTX,Nutex Health Inc. - Common Stock,United States,Broad US equity universe
NUV,"Nuveen Municipal Value Fund, Inc. Common Stock",United States,Broad US equity universe
NUVB,Nuvation Bio Inc. Class A Common Stock,United States,Broad US equity universe
NUW,Nuveen AMT-Free Municipal Value Fund,United States,Broad US equity universe
NUWE,"Nuwellis, Inc. - Common Stock",United States,Broad US equity universe
NVA,Nova Minerals Corp Common Stock,United States,Broad US equity universe
NVAX,"Novavax, Inc. - Common Stock",United States,Broad US equity universe
NVCR,NovoCure Limited - Ordinary Shares,United States,Broad US equity universe
NVCT,"Nuvectis Pharma, Inc. - Common Stock",United States,Broad US equity universe
NVDA,NVIDIA Corporation - Common Stock,United States,Broad US equity universe
NVEC,NVE Corporation - Common Stock,United States,Broad US equity universe
NVG,Nuveen AMT-Free Municipal Credit Income Fund ,United States,Broad US equity universe
NVGS,Navigator Holdings Ltd. Ordinary Shares (Marshall Islands),United States,Broad US equity universe
NVMI,Nova Ltd. - Ordinary Shares,United States,Broad US equity universe
NVNI,Nvni Group Limited - Ordinary Shares,United States,Broad US equity universe
NVNO,enVVeno Medical Corporation - Common Stock,United States,Broad US equity universe
NVO,Novo Nordisk A/S Common Stock,United States,Broad US equity universe
NVR,"NVR, Inc. Common Stock",United States,Broad US equity universe
NVRI,Enviri Corporation Common Stock,United States,Broad US equity universe
NVS,Novartis AG Common Stock,United States,Broad US equity universe
NVST,Envista Holdings Corporation Common Stock,United States,Broad US equity universe
NVT,nVent Electric plc Ordinary Shares ,United States,Broad US equity universe
NVTS,Navitas Semiconductor Corporation - Common Stock,United States,Broad US equity universe
NVX,NOVONIX Limited - American Depository Shares,United States,Broad US equity universe
NWAX,New America Acquisition I Corp. Class A Common Stock,United States,Broad US equity universe
NWBI,"Northwest Bancshares, Inc. - Common Stock",United States,Broad US equity universe
NWE,"NorthWestern Energy Group, Inc.  - Common Stock",United States,Broad US equity universe
NWFL,Norwood Financial Corp. - Common Stock,United States,Broad US equity universe
NWL,Newell Brands Inc. - Common Stock,United States,Broad US equity universe
NWN,Northwest Natural Holding Company Common Stock,United States,Broad US equity universe
NWPX,"NWPX Infrastructure, Inc. - Common Stock",United States,Broad US equity universe
NWS,News Corporation - Class B Common Stock,United States,Broad US equity universe
NWSA,News Corporation - Class A Common Stock,United States,Broad US equity universe
NWTG,"Newton Golf Company, Inc. - Common Stock",United States,Broad US equity universe
